City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
401,Aswan,EG,24.09,32.91,104.54,10,0,8.72
402,San Cristobal,VE,7.77,-72.22,84.2,51,40,18.34
403,Kapoeta,SS,4.77,33.59,89.8,33,54,10.16
404,Bhag,PK,29.04,67.82,87.08,14,0,1.54
405,Faanui,PF,-16.48,-151.75,78.48,78,31,18.32
406,Cayenne,GF,4.93,-52.33,89.6,62,75,11.41
407,Bolshaya Glushitsa,RU,50.24,43.59,55.17,37,0,9.37
408,Dunedin,NZ,-45.87,170.5,44.01,73,0,7.99
409,Chilca,PE,-12.52,-76.74,63.0,88,90,9.17
410,Forrest City,US,35.01,-90.79,68.0,82,1,4.36
411,Filingue,NE,14.35,3.32,98.62,28,0,4.41
412,Fougamou,GA,-1.22,10.58,85.1,64,100,3.76
413,Black River,JM,18.03,-77.85,86.0,66,20,6.93
414,Nioro,GM,13.35,-15.75,92.37,59,90,9.01
415,Acapulco,MX,16.86,-99.89,80.6,83,40,3.11
416,Koudougou,BF,12.25,-2.37,95.11,35,17,3.8
417,Roald,NO,62.58,6.13,53.6,81,75,9.17
418,Kumluca,TR,36.37,30.29,80.22,60,100,3.51
419,Hami,CN,42.8,93.45,49.06,40,0,4.7
420,Khilok,RU,51.37,110.47,37.92,91,100,1.5
421,Cockburn Town,TC,21.46,-71.14,83.17,73,0,13.58
422,San Carlos,VE,9.66,-68.58,83.52,75,59,4.21
423,Gizo,SB,-8.1,156.84,81.64,81,33,15.28
424,Nyamuswa,TZ,-1.9,34.02,80.6,47,20,11.41
425,Lander,US,42.83,-108.73,53.6,33,1,4.12
426,Bad Bramstedt,DE,53.92,9.88,54.0,96,100,1.99
427,Aripuana,BR,-9.17,-60.63,103.91,29,56,0.92
428,Lhokseumawe,ID,5.18,97.15,79.88,75,100,5.66
429,Labuhan,ID,-6.88,112.21,79.93,73,67,9.22
430,Terra Santa,BR,-2.1,-56.49,99.07,29,0,6.62
431,Guadix,ES,37.3,-3.14,75.0,29,85,8.01
432,Mbandaka,CD,0.05,18.26,78.98,87,99,2.57
