City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
236,Boyolangu,ID,75.72,-8.12,111.89,
237,Atmakur,IN,77.59,15.88,78.58,
238,Cuamba,MZ,86.25,-14.8,36.54,
239,Inongo,CD,81.21,-1.95,18.27,
244,Biak,ID,77.72,-0.91,122.88,
246,Georgetown,MY,80.6,5.41,100.34,
247,Karangasem,ID,78.8,-8.45,115.62,
255,Acari,PE,75.33,-15.43,-74.62,
272,Sinnamary,GF,87.64,5.38,-52.95,
273,Tamale,GH,89.51,9.4,-0.84,
274,Bubaque,GW,82.81,11.28,-15.83,
275,Kutum,SD,89.67,14.2,24.67,
276,Luganville,VU,75.96,-15.53,167.17,
277,Kalayaan,PH,80.6,14.35,121.57,
283,Bathsheba,BB,87.8,13.22,-59.52,
288,Dillon,US,79.0,34.42,-79.37,
291,Gigmoto,PH,77.43,13.78,124.39,
299,Tura,IN,75.25,25.52,90.22,
305,Ciudad Ojeda,VE,83.61,10.2,-71.31,
306,Limbang,MY,82.4,4.75,115.0,
310,Souillac,MU,77.0,-20.52,57.52,
312,Palimbang,PH,79.29,6.21,124.19,
317,Gabriel Leyva Solano,MX,82.0,25.67,-108.64,
318,Sri Aman,MY,75.2,1.24,111.46,
319,Algarrobo,CO,80.01,10.19,-74.58,
321,Eyl,SO,80.87,7.98,49.82,
323,Port Blair,IN,80.42,11.67,92.75,
324,Beja,TN,77.0,36.73,9.18,
325,Havelock,US,78.01,34.88,-76.9,
326,Ambilobe,MG,78.06,-13.2,49.05,
328,Cabo San Lucas,MX,78.8,22.89,-109.91,
329,Chalmette,US,82.0,29.94,-89.96,
330,Vanimo,PG,79.27,-2.67,141.3,
331,Chake Chake,TZ,78.8,-5.25,39.77,
336,Raga,SS,83.66,8.46,25.68,
337,Sabang,ID,81.73,5.89,95.32,
338,Isla Mujeres,MX,84.0,21.23,-86.73,
340,Puri,IN,80.6,19.8,85.85,
341,Kavaratti,IN,81.99,10.57,72.64,
343,Champerico,GT,75.2,14.3,-91.92,
346,Agadir,MA,75.2,30.42,-9.6,
350,Gulu,UG,76.44,2.77,32.3,
352,Cabedelo,BR,87.8,-6.98,-34.83,
354,Birao,CF,83.8,10.28,22.79,
356,Ibaiti,BR,87.01,-23.85,-50.19,
358,Meulaboh,ID,76.51,4.14,96.13,
361,Lithakia,GR,75.2,37.72,20.83,
363,Los Llanos De Aridane,ES,78.8,28.66,-17.92,
366,Sibiti,CG,84.36,-3.68,13.35,
367,Alamos,MX,80.01,27.02,-108.93,
371,Bosaso,SO,84.2,11.28,49.18,
372,Puro,PH,77.34,12.48,123.38,
374,Canguaretama,BR,87.13,-6.38,-35.13,
375,Inirida,CO,77.22,3.87,-67.92,
376,Ilhabela,BR,77.04,-23.78,-45.36,
379,Aksehir,TR,75.85,38.36,31.42,
380,Olinda,BR,86.0,-8.01,-34.86,
382,San Policarpo,PH,77.65,12.18,125.51,
394,Namatanai,PG,80.31,-3.67,152.43,
402,San Cristobal,VE,84.2,7.77,-72.22,
403,Kapoeta,SS,89.8,4.77,33.59,
404,Bhag,PK,87.08,29.04,67.82,
405,Faanui,PF,78.48,-16.48,-151.75,
406,Cayenne,GF,89.6,4.93,-52.33,
412,Fougamou,GA,85.1,-1.22,10.58,
413,Black River,JM,86.0,18.03,-77.85,
415,Acapulco,MX,80.6,16.86,-99.89,
418,Kumluca,TR,80.22,36.37,30.29,
421,Cockburn Town,TC,83.17,21.46,-71.14,
422,San Carlos,VE,83.52,9.66,-68.58,
423,Gizo,SB,81.64,-8.1,156.84,
424,Nyamuswa,TZ,80.6,-1.9,34.02,
428,Lhokseumawe,ID,79.88,5.18,97.15,
429,Labuhan,ID,79.93,-6.88,112.21,
431,Guadix,ES,75.0,37.3,-3.14,
432,Mbandaka,CD,78.98,0.05,18.26,
433,Aljezur,PT,75.99,37.32,-8.8,
